,Match_no,Date,Match,Team1,Team2,Won
0,2nd Match (N) ,"Sat, 10 Apr '21", Wankhede,Chennai Super Kings188/7,"Delhi Capitals(18.4/20 ov, T:189) 190/3",DC won by 7 wickets (with 8 balls remaining)
1,3rd Match (N) ,"Sun, 11 Apr '21", Chennai,"Sunrisers Hyderabad(20 ov, T:188) 177/5",Kolkata Knight Riders187/6,KKR won by 10 runs
2,4th Match (N) ,"Mon, 12 Apr '21", Wankhede,"Rajasthan Royals(20 ov, T:222) 217/7",Punjab Kings221/6,PBKS won by 4 runs
3,5th Match (N) ,"Tue, 13 Apr '21", Chennai,"Kolkata Knight Riders(20 ov, T:153) 142/7",Mumbai Indians152,MI won by 10 runs
4,6th Match (N) ,"Wed, 14 Apr '21", Chennai,"Sunrisers Hyderabad(20 ov, T:150) 143/9",Royal Challengers Bangalore149/8,RCB won by 6 runs
5,7th Match (N) ,"Thu, 15 Apr '21", Wankhede,Delhi Capitals147/8,"Rajasthan Royals(19.4/20 ov, T:148) 150/7",RR won by 3 wickets (with 2 balls remaining)
6,8th Match (N) ,"Fri, 16 Apr '21", Wankhede,Punjab Kings106/8,"Chennai Super Kings(15.4/20 ov, T:107) 107/4",CSK won by 6 wickets (with 26 balls remaining)
7,9th Match (N) ,"Sat, 17 Apr '21", Chennai,"Sunrisers Hyderabad(19.4/20 ov, T:151) 137",Mumbai Indians150/5,MI won by 13 runs
8,10th Match (D/N) ,"Sun, 18 Apr '21", Chennai,"Kolkata Knight Riders(20 ov, T:205) 166/8",Royal Challengers Bangalore204/4,RCB won by 38 runs
9,12th Match (N) ,"Mon, 19 Apr '21", Wankhede,"Rajasthan Royals(20 ov, T:189) 143/9",Chennai Super Kings188/9,CSK won by 45 runs
10,13th Match (N) ,"Tue, 20 Apr '21", Chennai,Mumbai Indians137/9,"Delhi Capitals(19.1/20 ov, T:138) 138/4",DC won by 6 wickets (with 5 balls remaining)
11,14th Match (D/N) ,"Wed, 21 Apr '21", Chennai,Punjab Kings120,"Sunrisers Hyderabad(18.4/20 ov, T:121) 121/1",SRH won by 9 wickets (with 8 balls remaining)
12,16th Match (N) ,"Thu, 22 Apr '21", Wankhede,Rajasthan Royals177/9,"Royal Challengers Bangalore(16.3/20 ov, T:178) 181/0",RCB won by 10 wickets (with 21 balls remaining)
13,17th Match (N) ,"Fri, 23 Apr '21", Chennai,Mumbai Indians131/6,"Punjab Kings(17.4/20 ov, T:132) 132/1",PBKS won by 9 wickets (with 14 balls remaining)
14,18th Match (N) ,"Sat, 24 Apr '21", Wankhede,Kolkata Knight Riders133/9,"Rajasthan Royals(18.5/20 ov, T:134) 134/4",RR won by 6 wickets (with 7 balls remaining)
15,19th Match (D/N) ,"Sun, 25 Apr '21", Wankhede,"Royal Challengers Bangalore(20 ov, T:192) 122/9",Chennai Super Kings191/4,CSK won by 69 runs
